user_id,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
0,1.51E+15,1.51E+12,2,157541,1.51E+12,4,3,20,1,20,2
0,1.51E+15,1.51E+12,2,68866,1.51E+12,4,3,20,1,20,2
1,1.51E+15,1.51E+12,2,235840,1.51E+12,4,1,17,1,16,2
1,1.51E+15,1.51E+12,2,96663,1.51E+12,4,1,17,1,16,2
2,1.51E+15,1.51E+12,2,119592,1.51E+12,4,1,17,1,24,2
2,1.51E+15,1.51E+12,2,30970,1.51E+12,4,1,17,1,24,2
3,1.51E+15,1.51E+12,2,236065,1.51E+12,4,3,2,1,21,1
3,1.51E+15,1.51E+12,2,236294,1.51E+12,4,3,2,1,21,1
4,1.51E+15,1.51E+12,2,48915,1.51E+12,4,1,17,1,17,1
4,1.51E+15,1.51E+12,2,44488,1.51E+12,4,1,17,1,17,1
5,1.51E+15,1.51E+12,3,168868,1.51E+12,4,1,12,1,25,1
5,1.51E+15,1.51E+12,3,207122,1.51E+12,4,1,12,1,25,1
5,1.51E+15,1.51E+12,3,286413,1.51E+12,4,1,12,1,25,1
6,1.51E+15,1.51E+12,2,202436,1.51E+12,4,3,20,1,21,2
6,1.51E+15,1.51E+12,2,288431,1.51E+12,4,3,20,1,21,2
7,1.51E+15,1.51E+12,2,235840,1.51E+12,4,1,17,1,21,2
7,1.51E+15,1.51E+12,2,284847,1.51E+12,4,1,17,1,21,2
8,1.51E+15,1.51E+12,3,332114,1.51E+12,4,3,20,1,12,1
8,1.51E+15,1.51E+12,3,284847,1.51E+12,4,3,20,1,12,1
8,1.51E+15,1.51E+12,3,114161,1.51E+12,4,3,20,1,12,1
9,1.51E+15,1.51E+12,2,284346,1.51E+12,4,3,2,1,25,1
9,1.51E+15,1.51E+12,2,285412,1.51E+12,4,3,2,1,25,1
10,1.51E+15,1.51E+12,3,198420,1.51E+12,4,1,17,1,18,1
